timestamp,co,no2,o3,so2,temp_c,humidity,wind_kph,pressure_mb,aqi
2025-04-01 00:00:00,307,14.1,61,9.1,25.1,63.0,14.4,1010.0,70.6
2025-04-01 01:00:00,672,24.4,50,11.1,24.9,61.0,11.2,1009.0,46.2962962962963
2025-04-01 02:00:00,1156,38.3,36,14.0,23.7,59.0,11.5,1009.0,36.13207547169811
2025-04-01 03:00:00,1416,45.6,36,17.3,23.4,59.0,13.0,1008.0,43.0188679245283
2025-04-01 04:00:00,1234,40.2,63,21.5,23.0,58.0,11.9,1008.0,77.13333333333333
2025-04-01 05:00:00,828,28.3,104,26.2,22.6,58.0,10.4,1008.0,37.42857142857143
2025-04-01 06:00:00,502,18.2,139,29.7,21.9,60.0,9.7,1009.0,42.42857142857143
2025-04-01 07:00:00,375,12.6,163,31.3,22.2,60.0,10.1,1009.0,44.714285714285715
2025-04-01 08:00:00,329,8.8,181,31.7,24.1,53.0,9.0,1010.0,45.285714285714285
2025-04-01 09:00:00,318,7.2,187,30.8,27.5,42.0,8.3,1010.0,44.0
2025-04-01 10:00:00,328,8.3,178,28.2,29.5,35.0,10.1,1011.0,40.285714285714285
2025-04-01 11:00:00,374,11.6,157,24.4,31.2,31.0,10.1,1010.0,34.857142857142854
2025-04-01 12:00:00,454,16.6,137,21.8,33.9,28.0,11.2,1010.0,31.142857142857146
2025-04-01 13:00:00,613,23.8,114,19.3,35.3,27.0,7.7,1009.0,27.571428571428573
2025-04-01 14:00:00,808,34.0,82,15.9,35.9,26.0,10.1,1008.0,139.5
2025-04-01 15:00:00,904,43.9,55,14.0,35.4,29.0,13.9,1007.0,51.0
2025-04-01 16:00:00,810,54.2,38,15.3,34.1,31.0,17.1,1006.0,51.21304347826087
2025-04-01 17:00:00,617,64.1,27,18.1,32.7,34.0,17.5,1006.0,61.758695652173905
2025-04-01 18:00:00,473,67.9,22,19.7,30.2,39.0,15.3,1006.0,65.80652173913045
2025-04-01 19:00:00,446,60.4,27,18.7,28.2,49.0,13.7,1007.0,57.81739130434782
2025-04-01 20:00:00,467,46.7,38,16.5,27.3,55.0,10.7,1007.0,44.05660377358491
2025-04-01 21:00:00,474,36.3,45,15.1,26.9,58.0,11.2,1008.0,41.666666666666664
2025-04-01 22:00:00,403,32.3,44,14.9,26.4,61.0,10.9,1009.0,40.74074074074074
2025-04-01 23:00:00,319,31.5,40,15.3,26.0,61.0,11.1,1009.0,37.03703703703704
2025-04-02 00:00:00,353,39.2,27,17.2,26.8,45.0,7.0,1009.0,36.9811320754717
2025-04-02 01:00:00,645,45.9,20,20.0,25.3,46.0,8.8,1008.0,43.30188679245283
2025-04-02 02:00:00,1056,54.6,12,24.0,24.7,49.0,8.9,1008.0,51.63913043478261
2025-04-02 03:00:00,1303,57.4,20,27.9,24.1,54.0,9.6,1008.0,54.62173913043478
2025-04-02 04:00:00,1231,48.9,58,32.0,23.7,57.0,11.9,1007.0,60.8
2025-04-02 05:00:00,995,34.5,112,35.9,23.2,57.0,11.5,1008.0,32.54716981132076
2025-04-02 06:00:00,777,22.3,153,37.7,22.8,59.0,11.5,1008.0,53.13589743589744
2025-04-02 07:00:00,625,14.9,171,35.8,23.2,61.0,10.8,1009.0,14.056603773584905
2025-04-02 08:00:00,491,9.9,177,31.8,26.1,56.0,8.3,1010.0,45.42857142857143
2025-04-02 09:00:00,413,7.5,175,27.7,27.9,46.0,4.7,1010.0,39.57142857142857
2025-04-02 10:00:00,411,8.2,167,24.2,31.1,37.0,4.3,1010.0,34.57142857142857
2025-04-02 11:00:00,465,11.6,152,20.6,33.4,32.0,8.3,1010.0,29.42857142857143
2025-04-02 12:00:00,552,17.0,137,19.4,36.3,31.0,11.9,1010.0,27.71428571428571
2025-04-02 13:00:00,702,27.1,111,18.0,37.2,32.0,14.4,1009.0,25.714285714285715
2025-04-02 14:00:00,886,40.9,76,15.9,37.1,31.0,15.5,1008.0,118.5
2025-04-02 15:00:00,992,50.2,50,14.3,35.5,31.0,16.6,1007.0,47.35849056603774
2025-04-02 16:00:00,957,51.3,41,13.5,34.4,32.0,17.5,1006.0,48.39622641509434
2025-04-02 17:00:00,844,47.9,41,13.0,32.1,35.0,16.8,1006.0,45.18867924528302
2025-04-02 18:00:00,729,43.4,43,12.5,30.8,37.0,13.8,1007.0,40.943396226415096
2025-04-02 19:00:00,627,37.9,46,11.6,29.2,42.0,12.3,1007.0,42.592592592592595
2025-04-02 20:00:00,523,31.3,50,10.6,28.1,47.0,12.5,1008.0,46.2962962962963
2025-04-02 21:00:00,445,26.3,53,10.1,27.5,50.0,11.6,1009.0,49.074074074074076
2025-04-02 22:00:00,377,23.1,52,10.0,27.1,53.0,6.3,1010.0,48.148148148148145
2025-04-02 23:00:00,335,21.6,48,10.4,26.6,55.0,10.3,1010.0,44.44444444444444
2025-04-03 00:00:00,391,23.4,49,12.5,26.7,50.0,10.4,1009.0,45.370370370370374
2025-04-03 01:00:00,660,34.7,39,15.3,25.3,50.0,10.7,1009.0,36.111111111111114
2025-04-03 02:00:00,1027,49.8,27,19.2,24.8,52.0,13.7,1008.0,46.9811320754717
