timestamp,co,no2,o3,so2,temp_c,humidity,wind_kph,pressure_mb,aqi
2025-04-01 00:00:00,307.0,14.1,61.0,9.1,25.1,63.0,14.4,1010.0,70.6
2025-04-01 01:00:00,672.0,24.4,50.0,11.1,24.9,61.0,11.2,1009.0,46.2962962962963
2025-04-01 02:00:00,1156.0,38.3,36.0,14.0,23.7,59.0,11.5,1009.0,36.13207547169811
2025-04-01 03:00:00,1416.0,45.6,36.0,17.3,23.4,59.0,13.0,1008.0,43.0188679245283
2025-04-01 04:00:00,1234.0,40.2,63.0,21.5,23.0,58.0,11.9,1008.0,77.13333333333333
2025-04-01 05:00:00,828.0,28.3,104.0,26.2,22.6,58.0,10.4,1008.0,37.42857142857143
2025-04-01 06:00:00,502.0,18.2,139.0,29.7,21.9,60.0,9.7,1009.0,42.42857142857143
2025-04-01 07:00:00,375.0,12.6,163.0,31.3,22.2,60.0,10.1,1009.0,44.71428571428572
2025-04-01 08:00:00,329.0,8.8,181.0,31.7,24.1,53.0,9.0,1010.0,45.285714285714285
2025-04-01 09:00:00,318.0,7.2,187.0,30.8,27.5,42.0,8.3,1010.0,44.0
2025-04-01 10:00:00,328.0,8.3,178.0,28.2,29.5,35.0,10.1,1011.0,40.285714285714285
2025-04-01 11:00:00,374.0,11.6,157.0,24.4,31.2,31.0,10.1,1010.0,34.857142857142854
2025-04-01 12:00:00,454.0,16.6,137.0,21.8,33.9,28.0,11.2,1010.0,31.142857142857142
2025-04-01 13:00:00,613.0,23.8,114.0,19.3,35.3,27.0,7.7,1009.0,27.571428571428573
2025-04-01 14:00:00,808.0,34.0,82.0,15.9,35.9,26.0,10.1,1008.0,139.5
2025-04-01 15:00:00,904.0,43.9,55.0,14.0,35.4,29.0,13.9,1007.0,51.0
2025-04-01 16:00:00,810.0,54.2,38.0,15.3,34.1,31.0,17.1,1006.0,51.21304347826087
2025-04-01 17:00:00,617.0,64.1,27.0,18.1,32.7,34.0,17.5,1006.0,61.75869565217391
2025-04-01 18:00:00,473.0,67.9,22.0,19.7,30.2,39.0,15.3,1006.0,65.80652173913045
2025-04-01 19:00:00,446.0,60.4,27.0,18.7,28.2,49.0,13.7,1007.0,57.81739130434782
2025-04-01 20:00:00,467.0,46.7,38.0,16.5,27.3,55.0,10.7,1007.0,44.05660377358491
2025-04-01 21:00:00,474.0,36.3,45.0,15.1,26.9,58.0,11.2,1008.0,41.66666666666666
2025-04-01 22:00:00,403.0,32.3,44.0,14.9,26.4,61.0,10.9,1009.0,40.74074074074074
2025-04-01 23:00:00,319.0,31.5,40.0,15.3,26.0,61.0,11.1,1009.0,37.03703703703704
2025-04-02 00:00:00,353.0,39.2,27.0,17.2,26.8,45.0,7.0,1009.0,36.9811320754717
2025-04-02 01:00:00,645.0,45.9,20.0,20.0,25.3,46.0,8.8,1008.0,43.30188679245283
2025-04-02 02:00:00,1056.0,54.6,12.0,24.0,24.7,49.0,8.9,1008.0,51.63913043478261
2025-04-02 03:00:00,1303.0,57.4,20.0,27.9,24.1,54.0,9.6,1008.0,54.62173913043478
2025-04-02 04:00:00,1231.0,48.9,58.0,32.0,23.7,57.0,11.9,1007.0,60.8
2025-04-02 05:00:00,995.0,34.5,112.0,35.9,23.2,57.0,11.5,1008.0,32.54716981132076
2025-04-02 06:00:00,777.0,22.3,153.0,37.7,22.8,59.0,11.5,1008.0,53.13589743589744
2025-04-02 07:00:00,625.0,14.9,171.0,35.8,23.2,61.0,10.8,1009.0,14.056603773584904
